,username,D_centrality,team,level
358,MTBacano,0.0025,red,33
359,MMartins7,0.0025,red,32
360,MANELRIBEIRO,0.0025,blue,36
361,LuckyGuest,0.0025,yellow,34
362,LuckKrlosPs,0.0025,yellow,40
363,LigmaMarbles,0.0025,yellow,34
364,Lfrjesus,0.0025,blue,40
365,LeTicks,0.0025,blue,34
366,LeCaesar,0.0025,red,40
367,LXLocco,0.0025,blue,39
368,PCaeiros,0.0025,red,40
369,PabloChappo,0.0025,red,29
370,Riimiranda,0.0025,blue,35
371,verbal1971,0.0025,red,38
372,RicardoSanptlx,0.0025,blue,40
373,RicardoJMF91,0.0025,yellow,31
374,Rfa18,0.0025,yellow,34
375,RestDragon1,0.0025,blue,27
376,RedAngel1904,0.0025,red,31
377,RandomPerpect,0.0025,red,33
378,Rafadomingues96,0.0025,blue,40
379,Rafadas,0.0025,blue,39
380,Rafacoelho7,0.0025,red,36
381,R0das31,0.0025,blue,33
382,Provedor07,0.0025,red,29
383,Ppsalves,0.0025,blue,30
384,Pokyxana,0.0025,blue,37
385,PokeAcoriano,0.0025,yellow,39
386,Pachiren,0.0025,blue,40
387,Pingox1,0.0025,yellow,30
388,Pim3nta89,0.0025,red,38
389,Phabiolous,0.0025,blue,40
390,PetherPT,0.0025,blue,34
391,onericardo,0.0025,red,34
392,Perseuh,0.0025,yellow,36
393,Perakori,0.0025,yellow,37
394,Pedrolebest,0.0025,yellow,34
395,PedroRib09,0.0025,blue,23
396,PedroEvangelho,0.0025,blue,32
397,Pcerceos,0.0025,blue,35
398,ParasiteEve,0.0025,red,40
399,PantufaMaster,0.0025,yellow,33
400,NunoTheMaster,0.0025,red,40
