,username,B_centrality,team,level
368,PACR2,0.0,red,32
369,RandomPerpect,0.0,red,33
370,PCaeiros,0.0,red,40
371,Rafadomingues96,0.0,blue,40
372,Rafadas,0.0,blue,39
373,Rafacoelho7,0.0,red,36
374,R0das31,0.0,blue,33
375,Provedor07,0.0,red,29
376,leFux,0.0,red,34
377,Ppsalves,0.0,blue,30
378,Pokyxana,0.0,blue,37
379,lfdamo,0.0,blue,36
380,loia16,0.0,red,33
381,PokeAcoriano,0.0,yellow,39
382,PipaOndas,0.0,red,37
383,Pingox1,0.0,yellow,30
384,Pim3nta89,0.0,red,38
385,Phabiolous,0.0,blue,40
386,PetherPT,0.0,blue,34
387,Perseuh,0.0,yellow,36
388,Perakori,0.0,yellow,37
389,Pedrolebest,0.0,yellow,34
390,m1ndHackz,0.0,red,30
391,PedroRib09,0.0,blue,23
392,PedroEvangelho,0.0,blue,32
393,Pcerceos,0.0,blue,35
394,magaleska,0.0,blue,40
395,ParasiteEve,0.0,red,40
396,PantufaMaster,0.0,yellow,33
397,Pachiren,0.0,blue,40
398,PabloChappo,0.0,red,29
399,PMPM74,0.0,blue,38
400,100balelas,0.0,red,40
